"","condition"
"Mmus_BAL-TAL_LRTN_BSL_Rep1_B7","Basal.Control"
"Mmus_BAL-TAL_RRTN_BSL_Rep2_B8","Basal.Control"
"Mmus_BAL-TAL_RRTN_BSL_Rep3_B9","Basal.Control"
"Mmus_BAL-TAL_RRTN_BSL_Rep4_B10","Basal.Control"
"Mmus_BAL-TAL_LRTN_GC_Rep1_G6","Ground.Control"
"Mmus_BAL-TAL_LRTN_GC_Rep2_G8","Ground.Control"
"Mmus_BAL-TAL_LRTN_GC_Rep3_G9","Ground.Control"
"Mmus_BAL-TAL_RRTN_GC_Rep4_G10","Ground.Control"
"Mmus_BAL-TAL_LRTN_FLT_Rep1_F6","Space.Flight"
"Mmus_BAL-TAL_LRTN_FLT_Rep2_F7","Space.Flight"
"Mmus_BAL-TAL_LRTN_FLT_Rep3_F8","Space.Flight"
"Mmus_BAL-TAL_LRTN_FLT_Rep4_F9","Space.Flight"
"Mmus_BAL-TAL_LRTN_FLT_Rep5_F10","Space.Flight"
